日付け,終値,始値,高値,安値,変化率 %
2022年02月03日,"5,252.000","5,252.000","5,252.000","5,252.000",0.17%
2022年02月02日,"5,243.000","5,243.000","5,243.000","5,243.000",0.44%
2022年02月01日,"5,220.000","5,220.000","5,220.000","5,220.000",0.12%
2022年01月31日,"5,214.000","5,214.000","5,214.000","5,214.000",-0.32%
2022年01月28日,"5,231.000","5,231.000","5,231.000","5,231.000",-0.66%
2022年01月27日,"5,266.000","5,266.000","5,266.000","5,266.000",0.06%
2022年01月26日,"5,263.000","5,263.000","5,263.000","5,263.000",0.00%
2022年01月25日,"5,263.000","5,263.000","5,263.000","5,263.000",-0.34%
2022年01月24日,"5,281.000","5,281.000","5,281.000","5,281.000",-0.30%
2022年01月21日,"5,297.000","5,297.000","5,297.000","5,297.000",-0.13%
2022年01月20日,"5,304.000","5,304.000","5,304.000","5,304.000",0.11%
2022年01月19日,"5,298.000","5,298.000","5,298.000","5,298.000",-0.38%
2022年01月18日,"5,318.000","5,318.000","5,318.000","5,318.000",-0.02%
2022年01月17日,"5,319.000","5,319.000","5,319.000","5,319.000",-0.24%
2022年01月14日,"5,332.000","5,332.000","5,332.000","5,332.000",-0.02%
2022年01月13日,"5,333.000","5,333.000","5,333.000","5,333.000",0.19%
2022年01月12日,"5,323.000","5,323.000","5,323.000","5,323.000",0.19%
2022年01月11日,"5,313.000","5,313.000","5,313.000","5,313.000",-0.47%
2022年01月07日,"5,338.000","5,338.000","5,338.000","5,338.000",-0.32%
2022年01月06日,"5,355.000","5,355.000","5,355.000","5,355.000",-0.24%
2022年01月05日,"5,368.000","5,368.000","5,368.000","5,368.000",-0.13%
2022年01月04日,"5,375.000","5,375.000","5,375.000","5,375.000",-0.15%
2021年12月30日,"5,383.000","5,383.000","5,383.000","5,383.000",-0.07%
2021年12月29日,"5,387.000","5,387.000","5,387.000","5,387.000",0.04%
2021年12月28日,"5,385.000","5,385.000","5,385.000","5,385.000",0.26%
2021年12月27日,"5,371.000","5,371.000","5,371.000","5,371.000",-0.02%
2021年12月24日,"5,372.000","5,372.000","5,372.000","5,372.000",0.11%
2021年12月23日,"5,366.000","5,366.000","5,366.000","5,366.000",0.19%
2021年12月22日,"5,356.000","5,356.000","5,356.000","5,356.000",0.32%
2021年12月21日,"5,339.000","5,339.000","5,339.000","5,339.000",-0.15%
2021年12月20日,"5,347.000","5,347.000","5,347.000","5,347.000",-0.07%
2021年12月17日,"5,351.000","5,351.000","5,351.000","5,351.000",0.19%
2021年12月16日,"5,341.000","5,341.000","5,341.000","5,341.000",0.11%
2021年12月15日,"5,335.000","5,335.000","5,335.000","5,335.000",-0.13%
2021年12月14日,"5,342.000","5,342.000","5,342.000","5,342.000",0.00%
2021年12月13日,"5,342.000","5,342.000","5,342.000","5,342.000",-0.21%
2021年12月10日,"5,353.000","5,353.000","5,353.000","5,353.000",-0.15%
2021年12月09日,"5,361.000","5,361.000","5,361.000","5,361.000",-0.07%
2021年12月08日,"5,365.000","5,365.000","5,365.000","5,365.000",0.51%
2021年12月07日,"5,338.000","5,338.000","5,338.000","5,338.000",0.30%
2021年12月06日,"5,322.000","5,322.000","5,322.000","5,322.000",0.17%
2021年12月03日,"5,313.000","5,313.000","5,313.000","5,313.000",0.06%
2021年12月02日,"5,310.000","5,310.000","5,310.000","5,310.000",0.17%
2021年12月01日,"5,301.000","5,301.000","5,301.000","5,301.000",-0.13%
2021年11月30日,"5,308.000","5,308.000","5,308.000","5,308.000",0.44%
2021年11月29日,"5,285.000","5,285.000","5,285.000","5,285.000",-0.56%
2021年11月26日,"5,315.000","5,315.000","5,315.000","5,315.000",0.00%
2021年11月25日,"5,315.000","5,315.000","5,315.000","5,315.000",-0.13%
2021年11月24日,"5,322.000","5,322.000","5,322.000","5,322.000",-0.58%
2021年11月22日,"5,353.000","5,353.000","5,353.000","5,353.000",-0.07%
2021年11月19日,"5,357.000","5,357.000","5,357.000","5,357.000",0.06%
2021年11月18日,"5,354.000","5,354.000","5,354.000","5,354.000",-0.06%
2021年11月17日,"5,357.000","5,357.000","5,357.000","5,357.000",-0.07%
